id,price,log_price,price_per_person,room_type,property_type,accommodates,bedrooms,beds,bathrooms,n_reviews,review_scores_rating,host_is_superhost,availability_365,minimum_nights,period,municipality,cod_istat,dist_ski,dist_lake,dist_park,dist_station,dist_bus,dist_center,dist_supermarket,dist_restaurant,dist_bar,dist_pharmacy,dist_castle,dist_museum,lat,long
960850,236.0,5.4638318050256105,47.2,Entire home/apt,Entire rental unit,5,2.0,4.0,1.5,30,4.67,0.0,37,7,december,Campitello di Fassa,22036,389.46316177872757,35138.883728357425,1331.1655544419534,50284.297716684276,94.1226402574254,2822.0355800411307,103.0897398158694,93.21781592904446,171.5158640310193,178.39155197705492,33016.580300405476,199.92878320276924,46.47539,11.74081
997873,500.0,6.214608098422191,100.0,Entire home/apt,Entire condo,5,2.0,3.0,2.0,65,4.92,0.0,89,3,december,Lavis,22103,5129.108125350931,3770.6552179299633,72.58297463438059,432.09439101720596,115.49037009183381,1248.0246215072773,291.6231416219188,98.83661618965266,264.3185398466022,160.6050348928464,2388.4967914046592,4513.591746409346,46.14095,11.11155
1016693,60.0,4.0943445622221,30.0,Entire home/apt,Entire rental unit,2,1.0,1.0,1.0,8,5.0,0.0,222,4,december,Arco,22006,15006.12855609978,4696.475414584026,45.941221419596275,4988.789724921687,148.00388042246462,2444.3763574790673,362.46272479739065,377.27762584767027,106.74302414552137,272.17423143301914,745.6082038861755,4116.222165785887,45.91943,10.87768
1025536,60.0,4.0943445622221,15.0,Entire home/apt,Entire home,4,1.0,2.0,1.0,219,4.79,1.0,290,2,december,Arco,22006,15432.091690362351,3866.3621757181,226.14581510037206,4639.953958517949,205.44187039712702,3272.057554098631,233.11667450666033,398.69313867968117,398.23443690105705,288.33823651755455,1677.3455635881742,3135.9236040511882,45.92128,10.86529
1072852,120.0,4.787491742782046,17.142857142857142,Private room,Private room in bed and breakfast,7,2.0,5.0,2.0,118,4.82,0.0,358,1,december,Castello-Molina di Fiemme,22047,2276.010477758822,17709.364761170196,35.0584173426901,25097.538225451288,104.39696940788596,6228.011780396109,78.63732779127089,320.15994756090754,682.9447997509355,47.90864884674878,17724.909002129916,2094.7512047165555,46.28187,11.43559
1149531,114.0,4.736198448394496,38.0,Entire home/apt,Entire vacation home,3,1.0,1.0,1.0,2,4.0,0.0,219,7,december,Calceranica al Lago,22032,6276.082511417843,219.68252931395992,149.43764885367906,300.25143082921625,167.7036619238154,742.4116035777304,59.8793383164547,115.7631402554838,267.0847251725164,239.30058320279335,2385.979106533304,208.32796633672177,46.00555,11.24371
1252024,130.0,4.867534450455582,26.0,Entire home/apt,Entire rental unit,5,3.0,5.0,1.0,21,5.0,1.0,350,2,december,Trento,22205,1256.8881876630983,6125.496112024083,161.9900919271316,706.6737764025445,113.40060312325552,2130.596962879972,346.5243483249367,179.32582620154912,352.88095408718584,380.2797179901296,414.7689965266663,496.35988653099764,46.07532,11.12961
2909773,120.0,4.787491742782046,7.5,Private room,Private room in bed and breakfast,16,7.0,12.0,7.0,1,5.0,0.0,307,4,december,Ledro,22229,14398.534933883126,8783.743119517647,1393.48895198602,9359.016641570675,144.64245852544317,1242.2590459822486,69.355394182005,34.88365087803321,61.50995125262563,1481.742254304885,7014.606559126553,56.30933920996092,45.89615,10.71657
2974538,105.0,4.653960350157523,26.25,Entire home/apt,Entire bungalow,4,1.0,2.0,1.0,61,4.82,1.0,225,3,december,Riva del Garda,22153,14970.148030590339,2996.085961966834,332.2905417068368,3076.4668142434793,256.27153601159887,3073.6091272703584,489.4351692167327,317.51490469751224,474.7021625183609,1121.0804392499178,986.0110248372056,2198.2543286240307,45.91177,10.84403
3001825,150.0,5.0106352940962555,37.5,Entire home/apt,Entire rental unit,4,2.0,3.0,1.0,7,4.57,0.0,47,7,december,Predazzo,22147,2095.15880562732,16125.247125049747,3012.8143275829893,31265.359330968266,158.17498500644902,1371.9602522382283,121.05737995950298,310.64500028361056,3693.3692060602784,4486.834763286144,20107.984190655912,4411.361386955097,46.31341,11.66084
3062569,74.0,4.30406509320417,37.0,Private room,Private room in bed and breakfast,2,1.0,1.0,0.5,17,4.88,0.0,241,4,december,Riva del Garda,22153,12798.019216283448,482.66660493558084,101.02645537642806,584.2201067772571,48.7405590252715,1503.8644310306372,80.8525053616398,165.971287301741,94.29076611206621,324.5099535009303,505.86943513352446,477.89611159910453,45.88906,10.84065
3076905,138.0,4.927253685157205,46.0,Entire home/apt,Entire villa,3,2.0,3.0,2.5,54,4.96,0.0,275,3,december,Tre Ville,22247,3904.287366652255,10061.286836483554,2648.192812145212,19072.190208739445,114.13221535697818,12552.28879492938,353.09324429478175,129.3274512370989,388.4218035199021,4338.2200762844495,5109.129901406281,4618.123498547753,46.05084,10.77462
3090461,526.0,6.26530121273771,65.75,Entire home/apt,Entire rental unit,8,4.0,4.0,4.5,23,5.0,0.0,285,6,december,Ville di Fiemme,22254,1512.8519620896427,17768.09827399998,810.526383323592,27353.661836264746,434.4294244867617,2310.755570985138,653.0795025685603,502.0359307394405,699.2573232378242,807.0413368806703,20364.808287579788,749.4508937420354,46.29847,11.46043
3135005,85.0,4.442651256490317,12.142857142857142,Entire home/apt,Entire condo,7,3.0,2.0,2.0,44,4.98,0.0,174,3,december,Tre Ville,22247,4367.965299677096,10559.072473618804,3150.0371908213756,19538.151391209445,372.71286334269644,11996.249247377591,285.0016732518745,441.0460130515197,223.63103380736086,4752.044035106835,5149.630248767663,4943.567072665447,46.05557,10.77697
3152865,200.0,5.298317366548036,40.0,Entire home/apt,Entire chalet,5,2.0,3.0,1.0,9,4.22,1.0,362,7,december,Malé,22110,7248.766408560736,9795.660324387276,379.54002522015276,673.2347738893476,676.8117515513834,2648.9749757084082,1018.2783392122108,152.3898930188533,724.2748790761465,970.9623419692036,2337.6742774260956,918.974045525251,46.35042,10.92455
3161248,186.0,5.225746673713202,46.5,Entire home/apt,Entire rental unit,4,2.0,3.0,1.0,212,4.75,1.0,287,1,december,San Giovanni di Fassa-Sèn Jan,22250,253.08753494316076,29459.930293147467,3593.6858784583874,44484.56690467263,203.68170666474515,1016.7587991625198,256.6818324325685,282.9542976539401,221.5575603833245,467.9289285654354,29613.543119199436,1517.9847446320505,46.43105,11.69578
3165698,183.0,5.209486152841421,45.75,Entire home/apt,Entire rental unit,4,1.0,3.0,1.0,277,4.73,1.0,295,1,december,San Giovanni di Fassa-Sèn Jan,22250,253.08753494316076,29459.930293147467,3593.6858784583874,44484.56690467263,203.68170666474515,1016.7587991625198,256.6818324325685,282.9542976539401,221.5575603833245,467.9289285654354,29613.543119199436,1517.9847446320505,46.43105,11.69578
1368711,270.0,5.598421958998375,67.5,Entire home/apt,Entire rental unit,4,2.0,4.0,2.0,13,4.62,0.0,330,2,december,Pinzolo,22143,764.3944725598229,14582.159353460245,202.69457422522134,17660.730884987086,69.40581598174994,7610.599516359858,200.3717739074365,207.36957378121429,137.63568549307257,397.80822304963186,13597.719246163424,1273.7340996268572,46.15677,10.76378
1389891,380.0,5.940171252720432,31.666666666666668,Entire home/apt,Entire rental unit,12,4.0,10.0,2.0,95,4.71,1.0,364,1,december,Volano,22224,3971.1062051935514,12031.569649072668,61.432699823817295,3496.866520432905,131.95269648238633,1702.0639179855618,271.9634317250696,37.574697697299904,266.6961134094338,255.25227211099158,1507.549736069009,2327.348098308104,45.91715,11.06003
1418481,156.0,5.049856007249537,26.0,Entire home/apt,Entire home,6,3.0,5.0,1.0,5,4.8,0.0,207,3,december,Primiero San Martino di Castrozza,22245,6358.376598011675,16923.565503638893,172.41895272652798,23511.942638307497,183.90258842590208,7582.574811696692,349.165582319337,99.91041362210048,267.72571221546383,352.4585426409821,560.71626780739,109.31997303735753,46.17394,11.82608
